sample_index,host_ts_ns,fz_N
0,3706830996911,-2.9237130447368322
1,3706831124888,-2.917433044736832
2,3706831197450,-2.911085044736831
3,3706831223592,-2.904796044736832
4,3706831230015,-2.9048100447368324
5,3706831234118,-2.8984830447368317
6,3706831238053,-2.8984490447368323
7,3706831366758,-2.9047900447368313
8,3706831381436,-2.8984890447368308
9,3706831387696,-2.8984550447368314
10,3706831392361,-2.898503044736831
11,3706831395988,-2.892029044736832
12,3706831399641,-2.8919950447368308
13,3706831403735,-2.8919610447368314
14,3706831408477,-2.891927044736832
15,3706831412447,-2.885530044736832
16,3706831415892,-2.885496044736831
17,3706831419210,-2.8854620447368315
18,3706831423201,-2.885427044736831
19,3706831426653,-2.8790310447368324
20,3706831430325,-2.878996044736832
21,3706831434362,-2.8852770447368314
22,3706831437780,-2.885174044736832
23,3706831441646,-2.8851390447368317
24,3706831446498,-2.8787900447368315
25,3706831450035,-2.8848770447368306
26,3706831453584,-2.884842044736832
27,3706831456579,-2.8910530447368323
28,3706831460514,-2.8973120447368323
29,3706831464041,-2.8972090447368313
30,3706831467500,-2.890859044736832
31,3706831473439,-2.896946044736831
32,3706831476532,-2.9031570447368313
33,3706832430753,-2.8967860447368317
34,3706833386952,-2.902937044736831
35,3706834411165,-2.9028330447368322
36,3706835419876,-2.902729044736832
37,3706836424075,-2.9026250447368316
38,3706837421771,-2.9087760447368307
39,3706838469267,-2.902482044736832
40,3706839519562,-2.908671044736831
41,3706840531767,-2.9148820447368315
42,3706841698065,-2.9084640447368315
43,3706842554133,-2.9146530447368306
44,3706862921750,-2.914489044736831
45,3706863018960,-2.9207260447368313
46,3706863024729,-2.914307044736832
47,3706863030793,-2.920497044736832
48,3706863034403,-2.9266870447368323
49,3706863037436,-2.926582044736831
50,3706863040904,-2.926457044736832
51,3706863044104,-2.9326470447368322
52,3706863046899,-2.932694044736831
53,3706863049977,-2.9325900447368323
54,3706863053811,-2.9324640447368306
55,3706863057046,-2.932339044736832
56,3706863061147,-2.9386530447368315
57,3706863064540,-2.938528044736831
58,3706863068522,-2.925795044736832
59,3706863071269,-2.9256700447368313
60,3706863074877,-2.925669044736832
61,3706863078280,-2.9382000447368313
62,3706863082035,-2.9380740447368314
63,3706863085291,-2.938009044736832
64,3706863520266,-2.9316940447368314
65,3706864683978,-2.9315680447368315
66,3706865528646,-2.944159044736832
67,3706866562293,-2.9377200447368317
68,3706870953890,-2.944012044736832
69,3706870993832,-2.9376800447368314
70,3706870999157,-2.950163044736831
71,3706871003285,-2.943783044736831
72,3706871679141,-2.943809044736831
73,3706872536387,-2.9437230447368314
74,3706874115814,-2.949891044736832
75,3706874894629,-2.9436350447368316
76,3706876089370,-2.9434890447368307
77,3706876571739,-2.9434500447368315
78,3706877570429,-2.943428044736832
79,3706878556468,-2.9433420447368324
80,3706879542697,-2.9495710447368317
81,3706880615862,-2.949596044736831
82,3706881557231,-2.9558030447368306
83,3706882528270,-2.9494230447368306
84,3706883506211,-2.9557640447368314
85,3706884555754,-2.955678044736832
86,3706885559653,-2.955716044736832
87,3706886591466,-2.961945044736831
88,3706887591613,-2.9619230447368317
89,3706888540785,-2.9681990447368314
90,3706889554699,-2.961944044736832
91,3706890602405,-2.974488044736832
92,3706891572469,-2.9744660447368307
93,3706892592522,-2.9744780447368306
94,3706893614282,-2.9680990447368316
95,3706894665182,-2.9680990447368316
96,3706895561641,-2.9681370447368316
97,3706896586724,-2.968089044736832
98,3706897634618,-2.9681490447368315
99,3706898577105,-2.968209044736831
100,3706899703131,-2.968209044736831
101,3706900617508,-2.9619280447368315
102,3706901604604,-2.968178044736831
103,3706902607919,-2.968178044736831
104,3706903639031,-2.961898044736831
105,3706904621196,-2.968272044736832
106,3706905592393,-2.9619790447368306
107,3706906634025,-2.9683060447368312
108,3706907608658,-2.968388044736832
109,3706908662122,-2.968388044736832
110,3706909714313,-2.968421044736832
111,3706910903016,-2.9685030447368312
112,3706911658623,-2.962162044736832
113,3706912705088,-2.9621960447368316
114,3706913650268,-2.968532044736831
115,3706914690693,-2.968691044736831
116,3706915628350,-2.962350044736832
117,3706916677618,-2.9623840447368313
118,3706917637165,-2.956112044736832
119,3706918639471,-2.956085044736831
120,3706919657979,-2.956119044736832
121,3706920707937,-2.956093044736832
122,3706921739012,-2.9561960447368314
123,3706922714709,-2.9561700447368313
124,3706923673759,-2.9562040447368307
125,3706924674530,-2.9562470447368323
126,3706925663898,-2.9562810447368317
127,3706927030824,-2.962629044736831
128,3706927746745,-2.962650044736831
129,3706928665890,-2.962706044736832
130,3706929683658,-2.9691020447368306
131,3706930736983,-2.9690760447368323
132,3706931667256,-2.9754250447368307
133,3706932661756,-2.969028044736831
134,3706933639128,-2.969062044736832
135,3706934650796,-2.975458044736831
136,3706935649759,-2.9754320447368308
137,3706936765314,-2.975465044736831
