frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
0,4624993701313,1789991174548.069,1789991174534.7026,1,1,0.46909998814953724,0.4667999882076401,0.4701999881217489,7,380,221
1,4629471195499,1789991178979.7124,1789991179028.997,1,1,0.2723999931185972,0.26009999342932133,0.278599992961972,8,867,404
2,4629572902213,1789991179012.2456,1789991179061.4917,1,1,0.2603999934217427,0.2593999934470048,0.27659999301249627,7,810,403
3,4629702771739,1789991179273.897,1789991179291.3276,1,1,0.2697999931842787,0.2652999932979583,0.27659999301249627,7,812,402
4,4630405595704,1789991179833.818,1789991179850.0789,1,1,0.2586999934646883,0.26139999339648057,0.26799999322975054,6,655,442
5,4630477052103,1789991179833.818,1789991180110.538,1,1,0.2604999934192165,0.26149999339395436,0.26559999329037964,5,661,449
6,4630956118473,1789991180389.25,1789991180405.818,1,1,0.2603999934217427,0.2628999933585874,0.26789999323227676,5,732,456
7,4631043157513,1789991180389.25,1789991180668.1343,1,1,0.2675999932398554,0.25979999343689997,0.2682999932221719,7,743,458
8,4631125887522,1789991180652.432,1789991180668.1343,1,1,0.26779999323480297,0.25919999345205724,0.2682999932221719,7,739,453
9,4631207864887,1789991180685.0295,1789991180700.7048,1,1,0.2626999933636398,0.2649999933055369,0.2730999931009137,6,794,455
10,4631367620999,1789991180912.8865,1789991180928.3704,1,1,0.26629999327269616,0.25999999343184754,0.27109999315143796,7,800,453
11,4631402316582,1789991180945.3906,1789991180960.8474,1,1,0.26489999330806313,0.261199993401533,0.27529999304533703,7,836,454
12,4631549070343,1789991181075.2903,1789991181090.6382,1,1,0.2659999932802748,0.26089999340911163,0.273899993080704,6,836,453
13,4631644636876,1789991181107.7358,1789991181123.057,1,1,0.26699999325501267,0.26229999337374466,0.2762999930200749,7,854,456
14,4631829334098,1789991181334.5276,1789991181349.6584,1,1,0.26779999323480297,0.2620999933787971,0.2755999930377584,6,855,451
15,4631905787242,1789991181366.8794,1789991181381.9827,1,1,0.2675999932398554,0.26309999335353496,0.2770999929998652,8,879,457
16,4632071982178,1789991181600.7683,1789991181615.7083,1,1,0.26859999321459327,0.2633999933459563,0.27659999301249627,6,879,455
17,4632173522781,1789991181633.082,1789991181647.9944,1,1,0.2684999932171195,0.26379999333585147,0.27669999300997006,6,895,456
